@relation 'EmailRelation-weka.filters.unsupervised.attribute.Remove-R5-6,17-18,21-22-weka.filters.supervised.instance.Resample-B0.0-S1-Z15.0-weka.filters.unsupervised.attribute.Remove-R4,14-16-weka.filters.unsupervised.attribute.Remove-R1-3,13'

@attribute charSeq1 numeric
@attribute charSeq2 numeric
@attribute charSeq3 numeric
@attribute charSeq4 numeric
@attribute charSeq5 numeric
@attribute charSeq6 numeric
@attribute charSeq7 numeric
@attribute charSeq8 numeric
@attribute charSeq9 numeric
@attribute whiteSpaceCount numeric
@attribute spam {SPAM,NOTSPAM}

@data
0,0.114754,0.196721,0.213115,0.065574,0.065574,0.114754,0.016393,0.04918,0.191099,SPAM
0.025,0.15,0.15,0.2,0.075,0.075,0.15,0.025,0.05,0.203774,SPAM
0,0.025641,0.102564,0.25641,0.205128,0.076923,0.051282,0.076923,0,0.2,SPAM
0,0.184783,0.271739,0.152174,0.021739,0.043478,0.032609,0.021739,0.021739,0.22871,SPAM
0,0.2,0.4,0,0,0,0.2,0,0.2,0.1875,SPAM
0.010493,0.028332,0.039874,0.06191,0.062959,0.049318,0.059811,0.058762,0.033578,0.177453,SPAM
0.142857,0.142857,0.142857,0.142857,0.285714,0,0.142857,0,0,0.236842,SPAM
0.028169,0.126761,0.15493,0.225352,0.056338,0.084507,0.056338,0.056338,0.014085,0.219565,SPAM
0.060345,0.155172,0.146552,0.155172,0.086207,0.094828,0.068966,0.043103,0.017241,0.225115,SPAM
0.042105,0.168421,0.2,0.147368,0.126316,0.052632,0.063158,0.010526,0.010526,0.243902,SPAM
0.01375,0.04,0.06375,0.07375,0.07125,0.05625,0.0575,0.045,0.0325,0.193465,SPAM
0.028846,0.134615,0.105769,0.163462,0.144231,0.048077,0.076923,0.048077,0.019231,0.218266,SPAM
0,0.1,0.3,0.2,0,0.1,0.2,0,0.1,0.217391,SPAM
0.044118,0.132353,0.147059,0.132353,0.088235,0.147059,0.073529,0.014706,0.014706,0.234483,SPAM
0.027027,0.059459,0.089189,0.108108,0.086486,0.067568,0.078378,0.043243,0.032432,0.207254,SPAM
0.094595,0.081081,0.162162,0.148649,0.135135,0.067568,0.054054,0.040541,0,0.354046,SPAM
0,0.184783,0.271739,0.152174,0.021739,0.043478,0.032609,0.021739,0.021739,0.22871,SPAM
0.044444,0.177778,0.066667,0.155556,0.111111,0.111111,0.088889,0.022222,0.066667,0.20625,SPAM
0.043478,0.217391,0.173913,0.173913,0.043478,0.043478,0.130435,0,0.043478,0.182432,SPAM
0,0.02439,0,0.04878,0.073171,0.097561,0.073171,0.073171,0.073171,0.085977,SPAM
0.019465,0.058394,0.058394,0.124088,0.092457,0.077859,0.043796,0.026764,0.021898,0.209677,SPAM
0.015152,0.060606,0.121212,0.121212,0.015152,0.106061,0.106061,0.060606,0,0.18509,SPAM
0.022801,0.078176,0.09772,0.094463,0.09772,0.029316,0.061889,0.04886,0.029316,0.211942,SPAM
0.054054,0.189189,0.162162,0.189189,0.054054,0.054054,0.162162,0.054054,0,0.218884,SPAM
0.009804,0.068627,0.083333,0.112745,0.098039,0.053922,0.083333,0.044118,0.039216,0.177813,SPAM
0.014235,0.074733,0.081851,0.092527,0.05694,0.064057,0.074733,0.039146,0.035587,0.203453,SPAM
0.086957,0.086957,0.173913,0.217391,0.086957,0.043478,0.043478,0,0.086957,0.208333,SPAM
0.3,0,0.1,0.1,0.1,0.1,0.2,0,0.1,0.213115,SPAM
0.016129,0.045161,0.06129,0.053226,0.062903,0.064516,0.051613,0.048387,0.030645,0.183295,SPAM
0,0.046512,0.116279,0.046512,0.139535,0.069767,0.093023,0.162791,0.186047,0.146814,SPAM
0.028571,0.142857,0.1,0.214286,0.114286,0.1,0.071429,0.028571,0,0.209184,SPAM
0.010417,0.083333,0.130208,0.145833,0.083333,0.041667,0.098958,0.041667,0.046875,0.19547,SPAM
0.049608,0.05483,0.08094,0.104439,0.067885,0.052219,0.08094,0.028721,0.033943,0.204964,SPAM
0.037344,0.06639,0.062241,0.13278,0.074689,0.062241,0.070539,0.024896,0.016598,0.207754,SPAM
0.060345,0.155172,0.146552,0.155172,0.086207,0.094828,0.068966,0.043103,0.017241,0.225115,SPAM
0.142857,0,0.142857,0.285714,0,0.142857,0.142857,0.142857,0,0.2,SPAM
0.01626,0.081301,0.121951,0.186992,0.04878,0.04878,0.073171,0.03252,0.03252,0.206757,SPAM
0,0.015625,0.015625,0.046875,0.859375,0,0.046875,0,0,0.170051,SPAM
0.015873,0.042328,0.111111,0.095238,0.137566,0.100529,0.10582,0.111111,0.05291,0.16849,SPAM
0.054622,0.079832,0.079832,0.113445,0.063025,0.042017,0.058824,0.042017,0.033613,0.199131,SPAM
0.009515,0.028544,0.035205,0.0647,0.059943,0.045671,0.058991,0.047574,0.044719,0.177126,SPAM
0.010526,0.073684,0.073684,0.115789,0.038596,0.05614,0.080702,0.059649,0.014035,0.190755,SPAM
0.016349,0.070845,0.06267,0.084469,0.046322,0.049046,0.059946,0.046322,0.029973,0.19506,SPAM
0.136364,0.045455,0.181818,0.090909,0.227273,0,0.090909,0.045455,0,0.225225,SPAM
0.034965,0.076923,0.104895,0.160839,0.097902,0.090909,0.06993,0.013986,0.027972,0.193357,SPAM
0.2,0,0.1,0.2,0.1,0.1,0.1,0.1,0,0.298701,SPAM
0.067568,0.135135,0.162162,0.175676,0.040541,0.108108,0.027027,0.027027,0.054054,0.23057,SPAM
0.008333,0.116667,0.108333,0.225,0.108333,0.091667,0.025,0.033333,0.058333,0.215068,SPAM
0.004032,0.044355,0.068548,0.048387,0.153226,0.129032,0.165323,0.165323,0.141129,0.155219,SPAM
0.026316,0.092105,0.144737,0.210526,0.092105,0.078947,0.065789,0.026316,0.013158,0.207048,SPAM
0.067308,0.081731,0.105769,0.149038,0.086538,0.086538,0.0625,0.057692,0.019231,0.216034,SPAM
0.02439,0.121951,0.073171,0.170732,0.146341,0.146341,0.146341,0,0.04878,0.160839,SPAM
0,0.166667,0.083333,0.138889,0.055556,0.138889,0.083333,0.055556,0.055556,0.150407,SPAM
0.021739,0.152174,0.130435,0.173913,0.086957,0.043478,0.152174,0.043478,0.021739,0.172794,SPAM
0,0.125,0.125,0.3125,0.0625,0.1875,0.0625,0.0625,0.0625,0.177083,SPAM
0,0.083333,0.25,0.083333,0.083333,0.166667,0.166667,0.166667,0,0.16,SPAM
0,0.0625,0.270833,0.145833,0.083333,0.020833,0.104167,0.020833,0.020833,0.210145,SPAM
0.034682,0.069364,0.083815,0.104046,0.080925,0.063584,0.075145,0.026012,0.026012,0.207042,SPAM
0,0.066667,0.133333,0.166667,0.033333,0.033333,0.033333,0.066667,0,0.238889,SPAM
0.007905,0.023715,0.051383,0.071146,0.043478,0.067194,0.059289,0.067194,0.047431,0.181818,NOTSPAM
0.0625,0,0.375,0.125,0.125,0,0.0625,0.0625,0,0.244681,NOTSPAM
0.038251,0.071038,0.15847,0.180328,0.043716,0.174863,0.038251,0.021858,0.010929,0.210692,NOTSPAM
0.012048,0.116466,0.092369,0.096386,0.060241,0.052209,0.048193,0.012048,0.024096,0.220825,NOTSPAM
0.1,0.15,0.3,0.1,0.05,0,0.15,0,0,0.245283,NOTSPAM
0.02,0.1,0.12,0.06,0.1,0.02,0.04,0.02,0.04,0.184818,NOTSPAM
0.012048,0.168675,0.180723,0.180723,0.108434,0.084337,0.060241,0.036145,0.024096,0.229249,NOTSPAM
0.022523,0.103604,0.103604,0.094595,0.081081,0.058559,0.067568,0.018018,0.022523,0.227457,NOTSPAM
0,0.0625,0.3125,0.1875,0,0,0.0625,0.125,0,0.221154,NOTSPAM
0.053571,0.107143,0.116071,0.169643,0.053571,0.0625,0.0625,0.035714,0.026786,0.201299,NOTSPAM
0.024793,0.115702,0.14876,0.247934,0.049587,0.057851,0.066116,0.024793,0,0.225197,NOTSPAM
0.017751,0.12426,0.088757,0.12426,0.047337,0.059172,0.053254,0.029586,0.017751,0.231768,NOTSPAM
0.057143,0.1,0.092857,0.142857,0.085714,0.057143,0.028571,0.064286,0.035714,0.20375,NOTSPAM
0.097561,0.121951,0.292683,0.146341,0.02439,0.02439,0.04878,0.097561,0.02439,0.248927,NOTSPAM
